Type,Description,Sold Price,StreetName,StNumber,Bedroom,BedPlus,Baths,Basement1
Att/Row/Twn...,3-Storey,757000,Corner,4,2,1,2,Finished
Semi-Detach...,2-Storey,780000,Dogwood,38,3,0,1,Finished
Semi-Detach...,Backsplit 3,830000,Dogwood,68,3,0,1,Crawl Space
Semi-Detach...,Bungalow,840000,Birkdale,91,3,1,2,Apartment
Detached,1 1/2 Store...,860000,Ellendale,150,4,0,2,Part Fin
Att/Row/Twn...,3-Storey,870000,Zezel,40,3,1,4,Finished
Detached,1 1/2 Store...,871000,Ashdean,9,3,0,1,Finished
Semi-Detach...,2-Storey,880000,Dorcot,95,3,1,3,Apartment
Detached,Bungalow,880000,Haileybury,69,2,1,3,Part Fin
Semi-Detach...,Bungalow,900000,Birkdale,68,3,1,2,Finished
Detached,1 1/2 Store...,903000,Ellendale,150,4,0,2,Part Fin
Detached,Bungalow,915000,Larkhall,6,3,2,2,Part Fin
Detached,1 1/2 Store...,915000,Bergen,30,3,0,2,Finished
Semi-Detach...,Bungalow-Ra...,920000,Vauxhall,238,3,1,2,Finished
Semi-Detach...,Bungalow,925000,Birkdale,62,3,2,2,Finished
Detached,Bungalow,925000,Brimley,1212,3,2,2,Apartment
Detached,1 1/2 Store...,929000,Bergen,11,2,0,2,Finished
Semi-Detach...,2-Storey,930000,Bergen,84,3,1,2,Apartment
Detached,Bungalow,939800,Kennedy,1018,3,1,2,Finished
Detached,Bungalow,940000,Delbert,44,3,0,1,Full
Detached,Bungalow,945000,Larkhall,10,3,1,2,Finished
Detached,Bungalow,955000,Arnprior,15,3,0,2,Finished
Detached,Backsplit 3,960000,Cartier,58,3,0,2,Finished
Detached,Bungalow,961000,Gilroy,68,3,3,2,Apartment
Detached,Bungalow,965000,Gilroy,7,3,2,2,Apartment
Detached,Bungalow,972999,Canlish,116,3,1,2,Finished
Detached,2-Storey,975000,Portsdown,122,5,3,5,Apartment
Detached,Bungalow,980000,Brimley,755,3,2,2,Finished
Detached,Bungalow,990000,Lyon Heights,34,3,0,2,Part Fin
Detached,Bungalow,990000,Bergen,53,3,1,2,Finished
Detached,Bungalow,999000,Applefield,5,3,2,2,Finished
Detached,Bungalow-Ra...,999999,Merryfield,90,3,2,2,Finished
Detached,Bungalow,1000000,Arnprior,18,3,3,2,Finished
Detached,Bungalow,1000000,Blaisdale,45,3,1,2,Finished
Detached,Bungalow,1000000,Denham,10,3,3,2,Apartment
Detached,Bungalow,1000000,Ellesmere,809,3,2,2,Finished
Detached,Backsplit 3,1001000,Norbury,31,3,1,1,Finished
Detached,Backsplit 3,1010800,Arlene,26,5,0,2,Crawl Space
Detached,Bungalow,1030000,Tripp,6,3,2,2,Finished
Detached,Bungalow,1031000,Tordale,43,3,1,2,Finished
Detached,Backsplit 3,1050000,Shediac,32,3,1,3,Finished
Att/Row/Twn...,3-Storey,1075000,Ellesmere,1027,4,0,4,Fin W/O
Detached,1 1/2 Store...,1080000,Vauxhall,76,4,3,4,Finished
Detached,Backsplit 3,1095823,Arlene,3,3,0,2,Finished
Detached,Sidesplit 3,1100000,Belyea,18,3,2,2,Finished
Detached,Bungalow,1120000,Roseglor,41,3,1,2,Finished
Detached,Bungalow-Ra...,1120000,Wye Valley,109,3,2,2,Apartment
Detached,Bungalow,1125000,Flora,170,3,3,3,Finished
Detached,2-Storey,1135000,Birkdale,225,4,1,2,None
Detached,2-Storey,1150000,Applefield,31,4,1,2,Finished
Detached,Bungalow-Ra...,1150000,Beacon,29,3,2,3,Apartment
Detached,Bungalow,1150000,Wye Valley,105,3,3,3,Finished
Detached,Bungalow-Ra...,1154900,Dorcot,28,4,1,3,None
Detached,Bungalow,1165300,Flintridge,25,3,1,2,Sep Entrance
Detached,Bungalow,1170000,Flora,181,3,2,3,Apartment
Detached,Bungalow,1200000,Gilroy,106,3,2,3,Apartment
Detached,Bungalow,1208000,Lewiston,20,3,2,4,Apartment
Detached,Bungalow,1240000,Marcos,135,3,1,2,Finished
Detached,Bungalow,1300000,Marcos,56,3,2,2,Apartment
Detached,Bungalow-Ra...,1310000,Romulus,74,4,4,4,Finished
Detached,2-Storey,1500000,Brimley,757,4,1,3,Finished
